msg_type,repeat,mmsi,year,month,day,hour,minute,second,accuracy,lon,lat,epfd,spare,raim,radio,time,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,draught,destination,dte,status,turn,speed,course,heading,maneuver,reserved,reserved_2,cs,display,dsc,band,msg22,assigned,dac,fid,data,aid_type,name,off_position,regional,virtual_aid,name_ext,offset1,number1,timeout1,increment1,offset2,number2,timeout2,increment2,offset3,number3,timeout3,increment3,offset4,number4,timeout4,increment4,partno,spare_1,vendorid,model,serial,spare_2
4,0,002766160-A-4,2022,9,7,10,59,59,0,25.500053,59.645888,0,0,FALSE,152812,1662517800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,636020457-B-5,,8,12,10,0,,,,,1,FALSE,,,1662517801,1,9486257,D5ZI2,TRANSAMERICA,70,120,29,7,19,5.9,EE TLL,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276538000-B-1-UnderWayUsingEngine,,,,,,59,0,24.713998,59.462525,,0,FALSE,98342,1662517801,,,,,,,,,,,,,0,-128,0,0,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276007420-A-18,,,,,,1,1,24.759658,59.555717,,,TRUE,2261,1662517801,,,,,,,,,,,,,,,23.6,349.4,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276643000-A-1-EngagedInFishing,,,,,,1,1,24.347427,59.573597,,0,TRUE,2253,1662517802,,,,,,,,,,,,,7,-128,0.9,288.6,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276841000-B-1-UnderWayUsingEngine,,,,,,1,0,24.814323,59.49916,,0,FALSE,22016,1662517802,,,,,,,,,,,,,0,0,0,201.4,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276003580-A-1-UnderWayUsingEngine,,,,,,1,1,24.669498,59.451382,,0,FALSE,2204,1662517802,,,,,,,,,,,,,0,0,0,296.5,167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276835000-A-1-UnderWayUsingEngine,,,,,,2,0,24.709122,59.459543,,0,FALSE,133345,1662517803,,,,,,,,,,,,,0,0,0.1,125.2,157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276645000-B-1-UnderWaySailing,,,,,,1,0,24.792448,59.558663,,0,FALSE,32873,1662517803,,,,,,,,,,,,,8,-128,0,283.9,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276385000-A-1-UnderWayUsingEngine,,,,,,2,1,24.814507,59.498963,,0,TRUE,32874,1662517803,,,,,,,,,,,,,0,0,0,360,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276798000-A-3-RestrictedManoeuverability,,,,,,2,1,24.31978,59.543318,,0,TRUE,4128,1662517803,,,,,,,,,,,,,3,-127,11.9,179,174,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276010760-B-18,,,,,,2,0,24.731737,59.45353,,,FALSE,613866,1662517803,,,,,,,,,,,,,,,0.4,291.8,182,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276010300-A-18,,,,,,3,0,24.731523,59.453532,,,FALSE,609418,1662517803,,,,,,,,,,,,,,,0,360,511,,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,002300057-A-8,,,,,,,,,,,0,,,1662517804,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,2.74E+88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276432000-B-1-UnderWayUsingEngine,,,,,,2,1,24.719743,59.45774,,0,FALSE,32906,1662517804,,,,,,,,,,,,,0,0,0,127,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,276001930-A-18,,,,,,4,0,24.818338,59.470295,,,TRUE,917510,1662517804,,,,,,,,,,,,,,,5.1,273.5,511,,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,230685000-A-3-Moored,,,,,,4,1,24.96933,59.489685,,0,FALSE,85402,1662517805,,,,,,,,,,,,,5,0,0,292.4,112,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276785000-A-1-UnderWayUsingEngine,,,,,,4,1,24.34024,59.57061,,0,TRUE,49239,1662517805,,,,,,,,,,,,,0,-128,8.1,127.1,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276636000-A-1-UnderWaySailing,,,,,,4,0,24.709983,59.460083,,0,FALSE,49241,1662517805,,,,,,,,,,,,,8,0,0.1,26.9,309,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276829000-A-1-UnderWayUsingEngine,,,,,,4,1,24.72797,59.663452,,2,FALSE,2250,1662517806,,,,,,,,,,,,,0,0,22.1,22.3,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276853000-B-1-UnderWayUsingEngine,,,,,,5,1,24.814787,59.498563,,0,FALSE,82005,1662517806,,,,,,,,,,,,,0,0,0,256.9,326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,276001840-A-1-Undefined,,,,,,60,0,24.814025,59.499362,,0,TRUE,164057,1662517806,,,,,,,,,,,,,15,-128,0.1,251,511,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
